"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Robinson Cano","- - -","736","3094","117","386","402","3","6.8%","14.8%",".182",".300",".283",".335",".464",".339","","117","-17.8","47.0","15.6","16.7","3269"
"Brett Gardner","NYY","920","3750","99","518","343","92","11.0%","19.0%",".154",".289",".250",".338",".404",".323","","103","35.6","47.8","-9.0","16.6","9927"
"Tommy Pham","- - -","870","3418","114","504","363","97","11.9%","23.8%",".174",".319",".260",".354",".434",".342","","116","16.6","86.5","-36.3","16.6","2967"
"Ketel Marte","- - -","818","3303","82","414","338","46","8.2%","15.5%",".169",".311",".279",".342",".448",".338","","110","4.5","49.8","5.6","16.5","13613"
"Chris Taylor","- - -","814","3003","89","406","343","63","9.5%","28.7%",".183",".340",".254",".331",".437",".330","","108","22.4","55.5","6.9","16.2","13757"
"Dansby Swanson","ATL","827","3387","102","433","411","58","8.6%","24.2%",".162",".313",".255",".321",".417",".315","","94","20.5","-7.6","57.3","16.2","18314"
"Jeff McNeil","NYM","516","2039","46","258","214","19","6.8%","11.9%",".151",".332",".307",".370",".458",".357","","131","1.0","78.6","15.3","16.1","15362"
"Max Muncy","- - -","712","2720","144","403","384","12","15.1%","24.1%",".242",".256",".231",".355",".473",".354","","125","10.3","96.4","-25.9","16.1","13301"
"A.J. Pollock","- - -","790","3146","123","447","400","95","7.0%","18.0%",".202",".303",".276",".332",".478",".344","","115","13.5","70.6","-17.0","16.0","9256"
"Max Kepler","MIN","837","3361","129","439","400","33","10.3%","17.9%",".195",".248",".232",".317",".427",".319","","101","14.4","17.8","25.3","16.0","12144"
"Marcell Ozuna","- - -","940","3940","170","479","559","20","8.2%","20.8%",".193",".303",".268",".330",".461",".338","","113","-2.9","62.0","-29.8","15.8","10324"
"Andrew McCutchen","- - -","1015","4349","159","570","540","62","12.4%","20.6%",".186",".296",".257",".354",".444",".344","","116","-11.5","75.2","-60.8","15.8","9847"
"Willson Contreras","CHC","734","2859","117","353","365","22","9.8%","24.0%",".203",".307",".256",".349",".459",".348","","118","-19.4","43.8","14.1","15.5","11609"
"David Peralta","- - -","920","3560","102","404","450","27","7.8%","19.8%",".177",".329",".281",".341",".458",".341","","111","7.0","54.5","-20.4","15.4","2136"
"Cesar Hernandez","- - -","1086","4541","70","560","355","90","9.6%","19.1%",".112",".324",".268",".342",".379",".316","","97","6.6","-10.7","11.4","15.2","10556"
"Jackie Bradley Jr.","- - -","975","3549","104","441","403","59","8.9%","24.9%",".170",".287",".232",".311",".402",".308","","89","18.9","-29.6","60.6","15.2","12984"
"Ozzie Albies","ATL","624","2709","98","401","346","63","6.6%","17.3%",".200",".296",".271",".322",".470",".335","","106","24.2","46.2","18.2","15.2","16556"
"Joey Gallo","- - -","752","2811","177","400","386","29","14.8%","37.3%",".270",".257",".199",".325",".469",".339","","110","19.5","54.8","0.2","15.1","14128"
"Eduardo Escobar","- - -","1006","4015","149","468","549","17","7.1%","20.1%",".195",".285",".254",".309",".449",".321","","100","5.3","4.9","7.1","14.8","6153"
"Adam Eaton","- - -","704","2992","60","431","257","65","9.1%","17.9%",".141",".324",".275",".355",".415",".336","","110","17.6","53.1","-7.8","14.6","11205"
"Ender Inciarte","- - -","751","2975","38","393","236","99","7.2%","13.2%",".106",".314",".280",".335",".386",".314","","91","20.5","-11.7","59.3","14.5","4922"
"Tyler Flowers","- - -","483","1742","49","164","198","0","8.9%","28.2%",".148",".333",".249",".338",".397",".322","","98","-7.4","-12.3","97.2","14.2","9134"
